Id,predicted
02d89130-e6e5-4aea-88ed-99e100aafe84_tha,ผู้ เป็น เด็กดี ต้อง ช่วยเหลือ เพื่อน   0   0 ที่ บ้าน เพื่อน ๆ 0 คน มีชีวิต ที่ แสน ไม่ หยิบ 0 แม่ ลูก 0 ลูก คน ที่ เธอ หยิบ กำลัง ตั้ง ท้องแก่ 0 ทำไม หนู เลือก ลูก หมี ชอบ เป็น ลูก คนโต 0 เธอ ควร ตั้ง เป็น ลูก ๆ
04763763-d79a-4a97-a529-20c5178d7d2d_tha,เมื่อ รถ ให้ รถ ให้ คุณแม่ ฟัง 0 เดินทาง ด้วย บรรยากาศ ที่ บ้าน ของ โดนัท จึง ได้ ไป รับ อาหาร 0 จึง รีบ ไป ด้วย 0 จึง พูด ด้วย วิธี 0 โดย ไม่ ช่วย คุณแม่
095b71cc-ef78-4861-af3f-5353c1bfcc59_tha,มัน เป็นประจำ
0961231d-c9a7-4589-b5da-cf37b6016ccc_tha,แต่ ได้ ให้ ไว้ กิน 0             0 มี ไว้ ใช้ ใน ใจ    0 เกิด หัว ไทร บ้าน หนอง ม่วง กัน 0      0 จึง ได้ ใช้ ใน ปั้น ข้าว ได้ ใช้ ใน ใจ
09bb3c0d-e00b-4c6d-978f-218874717a72_tha,ผู้ แจก แจ้ง ว่า   0 จะ ไม่ ลา จร         0 รอ รับ อีกที วัน สอง จึง ไม่ ลา จร         0 รอ รับ อีกที วัน สอง จึง ไม่ ลา จร         0 รอ รับ อีกที วัน สอง จึง ไม่ ลา จร         0 รอ รับ อีกที วัน สอง
0ab98ba1-784e-4ff2-b388-8673d3dbe98e_tha,เช้า วันหนึ่ง 0 ๆ 0 “ ยาย รดน้ำ
0cbcf57f-5726-4184-bb15-13ac7f067ae3_tha,มี ขนม ที่ สั่น หอม 0 ข้า จะ แพง 0 1     0 มี ขนม หอม กระโดด ใน ลำธาร 0 ขณะที่ เขา จะ ได้ สิ จ๊ะ   0 ตัว อะไร นะ ลูก 0 !! 0 มี ขนม ฟ้า สดใส 0 ทันใดนั้น เอง 0 กระรอก น้อย ตัว ข้า เป็น อย่าง มีความสุข
1466e119-be90-489d-814f-28c99752d2bf_tha,พยัญชนะ ก. 0 และ มีความสุข ตลอดไป ”  0 เป็น เด็ก 0 ได้ มี อีก มากมาย 0 ที่ ดี สุขสันต์    0 เป็น เด็ก พิเศษ กว่า นั้น เป็น    0 นั้น มี 0              0 ให้ ดี สุขสันต์    0 ที่ ดี กว่า ไม่ ได้ 0      0 รัก วัน 0
18c8ead0-5ae4-42cc-8967-797b2a280424_tha,นึก แล้ว น้อย น้อย จิต   0 ชีวิต เรา หนา 0 คง เป็น เพราะว่า       0 ตระหนี่ถี่เหนียว
23457dd3-3afa-4526-a9eb-f5589261bad3_tha,""" 0                      0 บรรเลง ความสุข 0 อย่า เผา ป่า ดี นั้น        0 กา ราม 0 จึง เข้าไป ใกล้ ๆ 0 เ เร ง ดี ล่ะ 0 หมายถึง 0 จอม เกเร 0 จอม ไหล แผ่ , 0 หมายถึง 0 จอม ได่ 0 หมายถึง 0        0 นี้ - ือ  "
