Id,predicted
0293a8c7-b69e-4c58-8caf-4a58e17bbacb_kir,"Берта планета Убакыт балдар, жаныбарлардын [UNK] бир аз күтө [UNK] деп жооп алса болгон. Ал тургай таң калат. Демек, мен ушунун баарын ээлебей кесипти [UNK] Мен сенин гана таштап жатты."
04a00291-ef0f-4bb5-8b37-75d300ceffaf_kir,[UNK] жер байкоо чаап жиберди.
0da41c23-0b28-46ba-853c-bbef07dfbbbc_kir,Бирок ушул токойду коргойбуз көрдүңбү? Тропикалык токой өсүмдүктөрү: [UNK] башка жерде пайда болот.
0de1bb36-93b8-4457-9570-33b72827c2f0_kir,Эртеси [UNK] [UNK] күкүмдөрүн [UNK] гүлгө [UNK] – деди апасы.
0df6e791-2aab-4a7d-8c87-077cdc47c674_kir,"Балдар, кандай гана жакшы көрүшөт."
0fc50966-6770-43f4-a30c-547300dd9972_kir,[UNK] [UNK] Самира.
1001fff1-27a4-4423-bf17-8c0f99643b99_kir,"Кел, гезит бекем дейт, – [UNK] биринчи эле аларды бир нерсе жана достору менен ажыдаар. – [UNK] буюмдардын Жылдыздар арасында эле бар деп өзүнө текшерип отуруп калдым. Акыркы [UNK] Бул жолу жок болуп жүрө турган [UNK] бою жагат. Чынында эле [UNK] Бир жолу окуп, эки [UNK] кирүүгө аяктады. Ариз менен"
14b81a5c-0547-4818-a1a5-5c33ec537d04_kir,"Индияда өттү. Кээ бир алар [UNK] окшойт. [UNK] азыркы кезде апасы айткан. [1] Кийинки күнү аябай үшүдү. Он эки, үч, Күчүк менен ойноп [UNK] тез эле желенин ортосун - бул кактусту кайда көчөт өнөт."
2c70f922-db97-4ce2-b8bb-a8b27870d741_kir,"﻿ [UNK] кырсык сууда Кирпи тикендүү болчу. Суудан оор үй-бүлө айлананын борбору билесиңби? Тон, жутуп, суунун жээгинде тоодой аарыларга гүлдөрдү сезишти.    [UNK] Анан жашырынып кымындай үрөндөр үй-бүлө айлананын борбору жүндүү болчу. Дарактар кабырчыктуу Суудан бекем боло баштады."
3517325b-f7c3-45f3-a81f-27de7b3baa26_kir,Индияда бышып чыкканын түшүндү. Мен ачык экен. Бул аба [UNK] [UNK] [UNK] сырын билүүгө жардам бере алышат.
3bcbd975-0cc5-4e8a-82cf-9479fd1b6d1f_kir,Менин атым Тукан. Анткени өз ишин – деди Күчүк.
3e118a7b-7ec8-444b-8096-6c47d081de5c_kir,"Карга суу сүйлөшүп жатат! – А-ав-ав, – деп сунуштады Арслан. туптунук [UNK] Арстан болгондуктан, байланган оюндарынын бири."
49ba950e-e4da-4b2e-8128-72f20ad5c857_kir,Бир кесипти тандап [UNK] турдук.
4b9b81a9-eed8-4999-8056-4730c4628765_kir,"[UNK] – Жок, сен менен 5 кандай да!"
54ff5e6a-578d-46d6-bc74-4dc81a28b823_kir,"Ыр болсо өзү жашайт. [UNK] кылды. Жер жүзүндөгү суу же кызыл кытай [UNK] Бирок, бир топко окшогон унаа алышат. Бул эмнеси?! Сасык [UNK] [UNK] аба жашайт. Жаңгак жүздөгөн [UNK] рычаг эрежеси жаанда калышты. А мен бийиктиктен көлдүн төмөн жагындагы чана, сноуборд салышкан. Түз алсам, [UNK] түсү өзгөрүп көтөрүп токойдо пайда"
58d4225b-0729-44e6-b364-da182896b90b_kir,"күкүм [UNK] деп аталат. Атасы менен [UNK] деп аталат. Бул ирет [UNK] ачты. [UNK] ойго [UNK] үчүн [UNK] чыгып, эч качан [UNK] жана [UNK] деп аталат. Анан [UNK] чоң [UNK]"
