Id,predicted
02d89130-e6e5-4aea-88ed-99e100aafe84_tha,ผู้เป็นเด็กดีต้องช่วยเหลือเพื่อน  ที่บ้านเพื่อนๆ คนมีชีวิตที่แสนไม่หยิบ แม่ลูก ลูกคนที่เธอหยิบกำลังตั้งท้องแก่ ทำไมหนูเลือกลูกหมีชอบเป็นลูกคนโต เธอควรตั้งเป็นลูกๆ
04763763-d79a-4a97-a529-20c5178d7d2d_tha,เมื่อรถให้รถให้คุณแม่ฟัง เดินทางด้วยบรรยากาศที่บ้านของโดนัทจึงได้ไปรับอาหาร จึงรีบไปด้วย จึงพูดด้วยวิธี โดยไม่ช่วยคุณแม่
095b71cc-ef78-4861-af3f-5353c1bfcc59_tha,มันเป็นประจำ
0961231d-c9a7-4589-b5da-cf37b6016ccc_tha,แต่ได้ให้ไว้กิน  มีไว้ใช้ในใจ เกิดหัวไทรบ้านหนองม่วงกัน  จึงได้ใช้ในปั้นข้าวได้ใช้ในใจ
09bb3c0d-e00b-4c6d-978f-218874717a72_tha,ผู้แจกแจ้งว่า จะไม่ลาจร รอรับอีกทีวันสองจึงไม่ลาจร รอรับอีกทีวันสองจึงไม่ลาจร รอรับอีกทีวันสองจึงไม่ลาจร รอรับอีกทีวันสอง
0ab98ba1-784e-4ff2-b388-8673d3dbe98e_tha,เช้าวันหนึ่ง ๆ “ยายรดน้ำ
0cbcf57f-5726-4184-bb15-13ac7f067ae3_tha,มีขนมที่สั่นหอม ข้าจะแพง 1 มีขนมหอมกระโดดในลำธาร ขณะที่เขาจะได้สิจ๊ะ ตัวอะไรนะลูก !! มีขนมฟ้าสดใส ทันใดนั้นเอง กระรอกน้อยตัวข้าเป็นอย่างมีความสุข
1466e119-be90-489d-814f-28c99752d2bf_tha,พยัญชนะก. และมีความสุขตลอดไป” เป็นเด็ก ได้มีอีกมากมาย ที่ดีสุขสันต์ เป็นเด็กพิเศษกว่านั้นเป็น นั้นมี  ให้ดีสุขสันต์ ที่ดีกว่าไม่ได้  รักวัน 
18c8ead0-5ae4-42cc-8967-797b2a280424_tha,นึกแล้วน้อยน้อยจิต ชีวิตเราหนา คงเป็นเพราะว่า ตระหนี่ถี่เหนียว
23457dd3-3afa-4526-a9eb-f5589261bad3_tha,"""  บรรเลงความสุข อย่าเผาป่าดีนั้น การาม จึงเข้าไปใกล้ๆ เเรงดีล่ะ หมายถึง จอมเกเร จอมไหลแผ่, หมายถึง จอมได่ หมายถึง  นี้-ือ"
25b881be-6dfa-4dfa-8e5a-6f6effc5e249_tha,โลกของตนเอง
2bf59dd7-c1a4-4bfa-839b-e2672c52c9a8_tha,พวกเขาไม่มี เป็นห่างไกลกันตลอดไป
2c9fc442-1a17-45fa-9f4f-141930cd4468_tha,อยู่นั้นสะอาด ไม่ป่วย เวลานั้นเกิดความพอเพียง ชายหนุ่มเกิดการทะเลาะกัน
2fd6ff51-a8a2-499e-85cc-f194a32ddf6d_tha,เมื่อทั้งสองได้เดินทางมาตามไป ไม่ได้ “ถ้าผู้อื่น ในโรงเรียนของที่ 3 ตามไป ที่ได้ไปที่ในเล็กๆ ﻿ ชวนได้ 3 ของทุกตัว เพื่อไม่ได้ “ได้
32d50216-4f6d-49ad-9433-81aab12005b0_tha,วันสามมารอ ไม่ถึงอีกครา
366224db-9b19-45fe-afc2-1659184e5444_tha,เมื่อกลับมาจากบ้านหลังหนึ่งเป็นเด็ก จึงได้กลับมามีบ้านของตาเป็นเด็กดีต้องทำพิธีผูกกับพ่อ ก็กลับมาบ้านหลังหนึ่งเป็นเด็กทั้งสองกลับมาจากกรุงเทพฯ เอื้อเฟื้อต่อกันตลอดไป
3befa5b9-3c7c-47af-9f88-13182809be5d_tha,มีนักเรียนชาวบ้านจะให้กับตา ฉันและเมตตาต่อคุณครูเคยเป็นอย่างมีความสุขกับฉันจะตาย
3f2b9e45-8d41-408a-a36f-640285f63131_tha,"มีผมของชาวบ้าน"" รดน้ำต้นไม้ด้วย"
44fb6f8f-86fc-4255-8b13-0c0cee3b50fe_tha,พระอยู่มาวันหนึ่งพ่อนกที่เขากลับถึงบ้านกลับมาด้วยความที่ได้นำผีเสื้อพูดขึ้นว่า เขานำไข่ที่ต้นลำเจียกไว้ให้เขาอยู่นั้นอยู่ในทันใด
4524fabf-0e07-4b7f-8319-f917886d1479_tha,เมื่อชบาถาม
497b1ad8-539b-4aa1-a8a0-9ab042ab0811_tha,เพื่อนฝูงไม่ดูอีกวันหนึ่งมีอะไรครับ
4f731aa7-b1ab-4fcd-9e00-0f37ecf592b9_tha,"""เป็นคนหนึ่งไม่มีใครต้องออกไปไม่ได้หรอก"" “: ลุงเปี๊ยกจึงกระโดดขึ้นว่า“เจ้างูได้เห็นดังนั้นงูได้เห็นดังนั้น ไปรุกรานและได้เล่าให้ออกไปว่าได้เห็นดังนั้นงูได้"
543cc2b5-e718-47b6-8510-f8bd991e6478_tha,ต่างจากการมี ๆ มีการเดินไปฝากคุณตา เดินกลับบ้านแล้วนำลูกๆ คนเกิดความพอเพียงตามธรรมชาติ ตัวดีใจ อาศัยอยู่ในบ้านคุณตา กลับถึงบ้านคุณตา ยายดีใจ เขาจึงนำลูกๆ
5619aa7f-4b1a-47a9-a41e-dce5dd5af75e_tha,ณ หมู่บ้านท่าเดื่อ ซึ่งเป็นโบราณสถาน ทำไมหมู่บ้านท่าทอง เพราะทางเข้าไร่ ซึ่งเป็นหมู่บ้านเรามาทำอย่างไร :  มีผู้คนสุขใจ
5c5c3435-5934-4cde-8bd4-bb6b4d65533b_tha,"เมื่อเห็นพรานสิงห์ จึงชวน และไม่ขี้เกียจและคนไทยไม่ได้เห็นว่า จึงวิ่งมาเป็นเด็กดี ""คุณแม่ "" และเอาแครอทมาช่วยเหลือ เหมือนและช่วยเหลือป้าเชื่อว่า เพราะขี้เกียจและ"
5d9cf303-71f7-4366-8af3-7ac33e1e8a29_tha,ขณะนั้นพวกเขาได้สำเร็จ
5e3a3480-d547-4d0b-bdc0-2f18a3e5184e_tha,เมื่อเห็นลุงช้างได้เห็นแม่จึงได้ฟังทำไม 3 เมื่อเห็นเจ้าหญิงได้ออกไปที่เขาได้กินได้ฟังยิ่ง แต่แล้วรีบไปกินได้ 3 อาหารเห็นจนทำให้พวกเราช่วยกันทำให้ได้เห็นจากนั้นมาเจ้าจ๋อจอม
5fb01c30-9749-4a8c-9c26-2e594707f120_tha,ทันใดนั้นเองก็โกรธมากจึงได้ยกก้ามของเขาก็หวังนอนหลับอย่างมีความสุข
638cc9ec-b4db-4013-91be-8b4754232678_tha,แต่งูใหญ่ไปซ่อนไว้
74192351-5bbf-4e7f-8a67-a91a083c61d5_tha,เมื่อเขาจึงพาน้องหมีช่างสงสัย และประกอบอาชีพ
7836836c-1ab2-4ab5-8b7a-be1fb8d41920_tha,เมื่อถึงไม่ได้กระจัดกระจาย ได้มีข้าวที่มาจากปัจจุบันในทันที
84cc2b95-f5be-443e-a85f-bb1867d2d388_tha,รอมาแสนนาน ขอทานอ่อนล้า ของที่แจกมา ไม่ถึงสักทีขอทานอ่อนล้า ของที่แจกมา ของที่แจกมา ของที่แจกมา ของมา ของที่แจกมา ของ
8a0b45fa-cab8-404b-baf5-b221c33c40dc_tha,โปรดมีใครได้มีก่อนได้ไหม ต้องมีฝูงหนอนนี้มีรูปร่างไม่เคยถูกพายุพัดมาและทันใดนั้น แต่ด้วยเช่นกัน
8a28a196-5045-406f-bc64-6559e0bf73e1_tha,"มีความพยายามของท่านเรียกว่า ""ของเธอร้องไห้เลย"" จึงได้ไปติดๆ ""ของเธอก็ได้พบกับเพื่อนทันทีว่าทำไมเขาก็พบว่า “ของเธอร้องไห้วิ่งไปทันทีว่า “ท่านลูกๆ """
8d9cfaa3-4a25-420c-b279-edda657375b2_tha,เมื่อชายคนหนึ่ง คุณตาคำอ่องเล่าให้แตก คุณตาคำอ่องชายคนจน หรือหลวงพ่อผัน : อุดมด้วยความสงสัย  ในใจ งั้นไฟไหมลูก ในใจหนึ่ง สามีจับ หิว : 
927ee0e4-7fd9-4e09-99a6-7a4c23944a3c_tha,วันหนึ่งมีความอุดมสมบูรณ์มี
a1c726be-c86c-4c8e-a6b6-be576e959e77_tha,ท่ามกลางอากาศกับแม่ว่า ซึ่งก็เอามือนั้น ก็เอาไปเล่นกับแม่ไปหาอาหาร เพราะเป็นครั้งแรกในป่าไป จึงเข้าไปนั้น ก็เข้าไปกับยายตามไปไว้บนโต๊ะ
a2562a8f-b957-40f5-a59f-8dae9e5f2bf4_tha,เมื่อวันที่พบเจอกับดอยได้พบกับนักท่องเที่ยวและเมื่อเล่นน้ำด้วย
a2f70594-3909-4bf7-9163-2e1b05141888_tha,ชายหนุ่มปล่อยหมึกน้อยด้วยความรักเพราะคนหนึ่งนามว่า แล้วเศรษฐีฝูงหนึ่งมีชายทั้งสองจึงตะโกนต่อๆ แล้วเรงประเทศ ๆ แล้วเศรษฐีฝูงหนึ่งมีความอุดมสมบูรณ์ใช้ เพราะมีชายไหลด้วยความโมโห ๆมีเส้นทางคดเคี้ยว
a6d42e51-0a51-4277-aeaa-d5a3b3bf4792_tha,ผลบุญหนุนนำ ช่วยค้ำจุนให้ สุขกายสุขใจ ตลอดไปเอย
a7823ed5-dbdd-428c-bc16-a19381fad2a1_tha,ผู้แจกเสียดาย โชคร้ายไม่ได้ จึงบอกอยากให้ รอนะพรุ่งนี้
a8d7a220-aaa9-4372-bb65-74926ff2d8a8_tha,ผู้คนในหมู่บ้านให้ฟังอย่างมีความสุข
ab0320af-8b2b-4440-a87d-a4e176a18b99_tha,แต่ต่อมาได้เป็นอาหารให้กากินจนน้อยหน่าช่วยให้ช่วยตนเองจะช่วยเสือจึงจะแพง จึงจะแพงเป็นพ่อกับตนช่วยลูกนกจึงได้จะแพงเป็นพ่อกับตนเองช่วยลูกนกเป็นกายาเสือ จึงให้ออก
ac2d2c6b-0d5a-4c83-ba33-5992a721b942_tha,อยู่ใกล้หมู่บ้าน มีความอุดมสมบูรณ์ เพราะ ที่ป่า มีป่าแห่งนี้มีเสื่อไม่มี ห่างไกลกันอยู่ในหมู่บ้านแสนสุข เพราะเป็นผู้เป็นลำธารพอเพียง ทำไมเบิกบานทำงานเลย
b0781e1e-094a-421c-bb94-6e6bf59a85b9_tha,วันหนึ่ง 3  มี
bbcd72ca-ad5c-4b3a-9f38-947188d045d0_tha,เรื่องเเซตาได้ขุด  เรื่องนี้ ในประเพณีกินได้  เรื่อง: จึงได้เขาได้ เรื่องนี้ เรื่อง: จึงได้ฝึกให้ เรื่องเเค้นที่ตลาด 
